Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.2028,38.9435,Warrior,89.9737,85.1762,17.1808,7.5251,0.1442,1.9999,200,51.4256,734.0799,698.8169,205.9810,600.8063,560.1467,0.0548,0.0242,Population structure converged. Difference: 0.0099
1,1,51.4256,44.3259,Warrior,85.6267,81.0610,26.0136,7.1616,0.1372,1.9999,200,51.4256,431.1576,462.2092,114.0123,360.7809,349.9115,0.0401,0.0242,Population structure converged. Difference: 0.0099
1,2,51.4256,49.9261,Warrior,85.6267,81.0610,26.0136,7.1616,0.1372,1.9999,200,51.4256,60.4682,83.1499,29.6439,53.7064,43.3339,0.0127,0.0242,Population structure converged. Difference: 0.0099
1,3,51.5311,50.2874,Warrior,88.0567,79.3339,25.4593,7.0090,0.1411,1.9999,200,51.4256,36.2933,67.1502,24.7160,22.1611,41.1684,0.0104,0.0242,Population structure converged. Difference: 0.0099
1,4,51.4256,50.9214,Warrior,85.6267,81.0610,26.0136,7.1616,0.1372,1.9999,200,51.4256,3.6089,3.1434,6.0183,8.2517,0.0001,0.0085,0.0242,Population structure converged. Difference: 0.0099
2,0,41.0180,32.7342,Warrior,60.4410,58.8404,60.2511,17.2637,3.2038,1.4245,200,56.7644,462.0895,292.7290,353.5750,463.2967,384.0092,0.0385,0.0464,Population structure converged. Difference: 0.0099
2,1,53.2148,38.1318,Warrior,82.8202,82.2652,17.6604,0.9719,16.2823,1.8585,200,56.7644,126.7042,231.1567,346.7868,329.7690,239.1804,0.0290,0.0464,Population structure converged. Difference: 0.0099
2,2,53.2148,45.6948,Warrior,82.8202,82.2652,17.6604,0.9719,16.2823,1.8585,200,56.7644,105.0347,285.1748,251.4744,199.2408,132.7842,0.0334,0.0464,Population structure converged. Difference: 0.0099
2,3,55.6749,51.2253,Warrior,100.4059,69.2795,22.4318,1.2345,6.6482,1.8585,200,56.7644,38.1432,106.3180,96.1840,59.8500,26.9024,0.0167,0.0464,Population structure converged. Difference: 0.0099
2,4,55.6749,52.5292,Warrior,100.4059,69.2795,22.4318,1.2345,6.6482,1.8585,200,56.7644,20.0838,72.9465,72.8127,5.4023,7.5579,0.0079,0.0464,Population structure converged. Difference: 0.0099
2,5,55.6749,53.1013,Warrior,100.4059,69.2795,22.4318,1.2345,6.6482,1.8585,200,56.7644,34.0716,59.3750,55.4039,0.2719,6.9361,0.0037,0.0464,Population structure converged. Difference: 0.0099
2,6,56.3576,53.7140,Warrior,86.8917,86.3094,18.5286,1.2952,6.9750,1.8585,200,56.7644,67.3256,49.0171,33.3222,0.1309,17.5851,0.0000,0.0464,Population structure converged. Difference: 0.0099
2,7,56.5227,54.2957,Warrior,84.7699,84.2019,22.9599,1.2636,6.8047,1.8585,200,56.7644,78.0335,56.1139,35.3131,0.0643,22.7374,0.0000,0.0464,Population structure converged. Difference: 0.0099
2,8,56.5745,55.1188,Warrior,84.8363,84.2678,22.9779,1.2645,6.6534,1.8585,200,56.7644,61.4997,50.1592,30.5666,0.0570,17.3581,0.0000,0.0464,Population structure converged. Difference: 0.0099
2,9,56.7367,55.6583,Warrior,88.9446,77.9094,25.2261,1.2403,6.6796,1.8585,200,56.7644,40.8343,52.8203,15.3734,0.0202,10.8269,0.0000,0.0464,Population structure converged. Difference: 0.0099
2,10,56.7773,56.0226,Warrior,85.0846,84.5144,23.0451,0.9382,6.4177,1.8585,200,56.7644,33.8997,39.8683,6.9152,0.0200,4.7849,0.0000,0.0464,Population structure converged. Difference: 0.0099
2,11,56.7644,56.2053,Warrior,93.1930,78.1530,21.3105,1.1728,6.1706,1.8585,200,56.7644,28.5959,36.0699,6.8975,0.0178,1.7996,0.0000,0.0464,Population structure converged. Difference: 0.0099
3,0,42.7775,31.8672,Warrior,62.1418,54.9302,35.0705,25.9177,21.9398,1.9178,200,56.0058,335.4797,310.4074,406.6226,289.1397,545.3924,0.0457,0.0502,Population structure converged. Difference: 0.0092
3,1,50.4720,35.6204,Warrior,73.1190,67.1513,37.1240,6.6566,15.9489,1.8504,200,56.0058,225.9199,204.8629,250.0266,160.9278,215.8410,0.0441,0.0502,Population structure converged. Difference: 0.0092
3,2,50.4720,43.5153,Warrior,73.1190,67.1513,37.1240,6.6566,15.9489,1.8504,200,56.0058,97.8298,157.3310,97.8448,162.3737,96.8474,0.0164,0.0502,Population structure converged. Difference: 0.0092
3,3,52.3755,47.1320,Warrior,73.1190,67.1513,37.1240,6.6566,15.9489,1.9178,200,56.0058,43.9689,106.6636,31.8328,120.8065,25.8261,0.0050,0.0502,Population structure converged. Difference: 0.0092
3,4,52.7234,49.2986,Warrior,84.1019,68.2270,33.9415,7.0931,6.6365,1.9773,200,56.0058,10.9264,41.6924,6.8078,50.6587,9.6019,0.0025,0.0502,Population structure converged. Difference: 0.0092
3,5,52.7620,50.2376,Warrior,83.4053,66.5951,36.8165,6.6015,6.5816,1.9773,200,56.0058,8.0847,6.1038,3.8288,18.1681,9.2885,0.0012,0.0502,Population structure converged. Difference: 0.0092
3,6,52.8328,50.8269,Warrior,74.8754,73.1763,36.9868,7.7295,7.2320,1.8504,200,56.0058,13.5606,4.2649,3.0272,7.5191,13.2675,0.0025,0.0502,Population structure converged. Difference: 0.0092
3,7,53.3193,51.3647,Warrior,76.7624,70.4973,38.9738,6.8937,6.8728,1.8504,200,56.0058,18.1524,4.1183,1.4669,0.1761,19.7222,0.0037,0.0502,Population structure converged. Difference: 0.0092
3,8,53.8007,51.9859,Warrior,84.1019,68.2270,33.9415,7.0931,6.6365,1.8504,200,56.0058,16.0470,6.6911,2.1918,0.2335,19.0460,0.0039,0.0502,Population structure converged. Difference: 0.0092
3,9,53.8390,52.5219,Warrior,83.4053,66.5951,36.8165,6.6015,6.5816,1.8504,200,56.0058,10.9930,7.0356,2.7372,0.2872,12.7680,0.0037,0.0502,Population structure converged. Difference: 0.0092
3,10,55.4032,52.8632,Warrior,76.7252,70.4632,38.9550,6.9849,6.8718,1.9178,200,56.0058,11.6083,5.8318,2.8795,0.2836,10.0801,0.0035,0.0502,Population structure converged. Difference: 0.0092
3,11,55.4032,53.2022,Warrior,76.7252,70.4632,38.9550,6.9849,6.8718,1.9178,200,56.0058,11.5332,6.3265,3.1351,0.2460,7.6858,0.0029,0.0502,Population structure converged. Difference: 0.0092
3,12,55.7028,53.7100,Warrior,82.6140,67.0200,36.3325,7.0274,7.0061,1.9178,200,56.0058,10.5019,4.6808,3.7017,0.1535,3.2608,0.0021,0.0502,Population structure converged. Difference: 0.0092
3,13,55.9513,54.4585,Warrior,84.1019,68.2270,33.9415,7.0931,6.6365,1.9178,200,56.0058,8.8418,3.4852,4.1712,0.0826,2.2305,0.0014,0.0502,Population structure converged. Difference: 0.0092
3,14,55.8878,55.0438,Warrior,79.2880,72.8169,34.0359,6.1029,7.7562,1.9178,200,56.0058,8.7002,3.2070,2.8098,0.0700,0.5779,0.0008,0.0502,Population structure converged. Difference: 0.0092
3,15,55.9979,55.2866,Warrior,79.7397,69.8266,37.4176,6.4176,6.5984,1.9178,200,56.0058,8.9789,2.6012,3.1107,0.0454,0.0225,0.0005,0.0502,Population structure converged. Difference: 0.0092
3,16,56.0058,55.4929,Warrior,82.2070,69.2062,35.0850,6.7532,6.7486,1.9178,200,56.0058,8.7664,2.5326,3.3905,0.0297,0.0133,0.0002,0.0502,Population structure converged. Difference: 0.0092
4,0,39.9104,32.7316,Warrior,67.1143,46.6957,52.5986,24.1969,9.3945,1.7778,200,55.0415,366.1885,564.1983,581.3963,354.6205,324.0797,0.0385,0.0768,Population structure converged. Difference: 0.0087
4,1,44.4897,37.0990,Warrior,65.1356,85.9096,12.5815,6.4691,29.9042,1.8448,200,55.0415,184.7918,604.8871,639.6756,243.3647,146.8067,0.0355,0.0768,Population structure converged. Difference: 0.0087
4,2,45.5423,39.8359,Warrior,73.7163,51.2891,57.7726,6.9034,10.3186,1.7778,200,55.0415,57.0678,569.3109,559.8348,49.7803,25.8511,0.0416,0.0768,Population structure converged. Difference: 0.0087
4,3,46.0668,41.9002,Warrior,64.5940,69.6919,50.6233,6.0491,9.0417,1.7778,200,55.0415,48.0031,308.5433,354.7870,4.8009,30.7883,0.0340,0.0768,Population structure converged. Difference: 0.0087
4,4,48.3233,43.7856,Warrior,62.6898,67.4853,41.5590,5.3450,22.9210,1.8787,200,55.0415,45.5401,225.4390,330.5724,2.8654,49.6622,0.0137,0.0768,Population structure converged. Difference: 0.0087
4,5,50.8579,45.1410,Warrior,72.8781,96.1214,14.0770,6.9785,9.9450,1.8448,200,55.0415,37.4241,139.9670,272.0520,0.3033,55.6362,0.0064,0.0768,Population structure converged. Difference: 0.0087
4,6,50.8579,46.9637,Warrior,72.8781,96.1214,14.0770,6.9785,9.9450,1.8448,200,55.0415,54.5949,203.4378,279.0501,0.5283,74.3333,0.0029,0.0768,Population structure converged. Difference: 0.0087
4,7,51.3363,48.4111,Warrior,75.8066,91.9473,14.6426,7.2589,10.3446,1.8448,200,55.0415,46.8323,143.4774,163.2412,0.4149,70.3964,0.0044,0.0768,Population structure converged. Difference: 0.0087
4,8,51.6848,49.9811,Warrior,77.1453,92.5497,13.5539,5.9525,10.7986,1.8448,200,55.0415,29.8439,75.9528,87.0868,0.2760,29.5858,0.0021,0.0768,Population structure converged. Difference: 0.0087
4,9,51.4171,50.5450,Warrior,77.8058,90.8431,13.3040,7.4298,10.6174,1.8448,200,55.0415,18.0692,57.6869,33.7150,0.1529,7.3151,0.0020,0.0768,Population structure converged. Difference: 0.0087
4,10,51.9807,50.7566,Warrior,63.9809,84.3866,36.4853,4.6924,10.4547,1.8787,200,55.0415,14.6801,43.4287,38.3619,0.1778,3.5176,0.0000,0.0768,Population structure converged. Difference: 0.0087
4,11,51.9807,50.8623,Warrior,63.9809,84.3866,36.4853,4.6924,10.4547,1.8787,200,55.0415,14.1007,25.8179,18.1770,0.2179,1.7466,0.0000,0.0768,Population structure converged. Difference: 0.0087
4,12,52.3399,50.9193,Warrior,72.6929,95.8771,14.0412,6.9607,10.4281,1.8787,200,55.0415,3.4137,11.5020,22.8820,0.3176,1.5251,0.0001,0.0768,Population structure converged. Difference: 0.0087
4,13,53.6839,51.0292,Warrior,69.7757,80.7915,34.9309,4.4925,10.0093,1.8787,200,55.0415,5.3146,15.5799,34.5485,0.5034,1.6275,0.0001,0.0768,Population structure converged. Difference: 0.0087
4,14,54.1276,51.4870,Warrior,71.6478,79.6301,34.4288,4.4279,9.8654,1.8787,200,55.0415,7.2181,28.1960,65.3417,1.1005,1.5174,0.0003,0.0768,Population structure converged. Difference: 0.0087
4,15,54.1276,52.4697,Warrior,71.6478,79.6301,34.4288,4.4279,9.8654,1.8787,200,55.0415,5.9378,54.2115,109.6450,1.6810,0.1804,0.0003,0.0768,Population structure converged. Difference: 0.0087
4,16,54.6504,53.2241,Warrior,74.2027,78.0450,33.7435,4.3398,9.6690,1.8787,200,55.0415,9.2557,32.9083,77.0004,1.3601,0.1612,0.0001,0.0768,Population structure converged. Difference: 0.0087
4,17,54.6504,53.6049,Warrior,74.2027,78.0450,33.7435,4.3398,9.6690,1.8787,200,55.0415,11.2553,15.1022,41.6454,0.9041,0.2089,0.0001,0.0768,Population structure converged. Difference: 0.0087
4,18,54.6504,53.8545,Warrior,74.2027,78.0450,33.7435,4.3398,9.6690,1.8787,200,55.0415,7.3166,12.0275,22.9006,0.1924,0.1495,0.0000,0.0768,Population structure converged. Difference: 0.0087
4,19,54.6504,54.0818,Warrior,74.2027,78.0450,33.7435,4.3398,9.6690,1.8787,200,55.0415,10.2045,7.5194,29.6389,0.1286,0.1834,0.0000,0.0768,Population structure converged. Difference: 0.0087
4,20,55.0415,54.2423,Warrior,76.6148,79.2988,30.2169,3.8862,9.9833,1.8787,200,55.0415,6.2188,6.3376,18.1721,0.1219,0.1316,0.0000,0.0768,Population structure converged. Difference: 0.0087
4,21,55.0415,54.3374,Warrior,76.6148,79.2988,30.2169,3.8862,9.9833,1.8787,200,55.0415,5.1980,7.6043,17.5523,0.0856,0.0975,0.0000,0.0768,Population structure converged. Difference: 0.0087
4,22,55.0415,54.4189,Warrior,76.6148,79.2988,30.2169,3.8862,9.9833,1.8787,200,55.0415,3.3236,7.9385,14.3330,0.0763,0.0613,0.0000,0.0768,Population structure converged. Difference: 0.0087
4,23,55.0415,54.4710,Warrior,76.6148,79.2988,30.2169,3.8862,9.9833,1.8787,200,55.0415,2.6117,6.5944,10.8481,0.1010,0.0711,0.0000,0.0768,Population structure converged. Difference: 0.0087
4,24,55.0415,54.5672,Warrior,76.6148,79.2988,30.2169,3.8862,9.9833,1.8787,200,55.0415,2.0466,1.3230,3.2950,0.0817,0.0597,0.0000,0.0768,Population structure converged. Difference: 0.0087
5,0,49.0036,37.6794,Warrior,88.8982,83.2890,16.7380,8.0169,3.0579,1.4677,200,57.1622,670.0017,514.2770,307.0368,413.3340,502.4288,0.0504,0.0256,Population structure converged. Difference: 0.0064
5,1,56.9077,45.7666,Warrior,88.8982,83.2890,16.7380,8.0169,3.0579,1.9260,200,57.1622,192.9412,204.6324,128.8708,157.5100,123.7965,0.0377,0.0256,Population structure converged. Difference: 0.0064
5,2,56.9077,50.1190,Warrior,88.8982,83.2890,16.7380,8.0169,3.0579,1.9260,200,57.1622,75.4602,36.4225,23.4575,31.4846,67.3663,0.0516,0.0256,Population structure converged. Difference: 0.0064
5,3,57.1747,53.6919,Warrior,89.2030,83.5746,16.7954,6.9723,3.4547,1.9260,200,57.1622,35.6371,20.8957,10.0213,8.9031,38.3498,0.0430,0.0256,Population structure converged. Difference: 0.0064
5,4,57.1622,55.6688,Warrior,89.1871,83.5596,16.7924,6.9950,3.4659,1.9260,200,57.1622,6.0961,6.6152,4.6053,2.0212,7.4093,0.0194,0.0256,Population structure converged. Difference: 0.0064
5,5,57.1622,56.3602,Warrior,89.1871,83.5596,16.7924,6.9950,3.4659,1.9260,200,57.1622,2.8837,5.5845,5.7661,0.9147,0.5897,0.0083,0.0256,Population structure converged. Difference: 0.0064
5,6,57.1622,56.5028,Warrior,89.1871,83.5596,16.7924,6.9950,3.4659,1.9260,200,57.1622,1.8579,4.5360,7.5544,0.8674,0.6810,0.0062,0.0256,Population structure converged. Difference: 0.0064
5,7,57.1622,56.7962,Warrior,89.1871,83.5596,16.7924,6.9950,3.4659,1.9260,200,57.1622,0.5805,2.0078,2.9340,0.0486,0.3611,0.0021,0.0256,Population structure converged. Difference: 0.0064
6,0,43.8213,35.1011,Warrior,75.1493,75.7640,20.0856,15.1371,13.8641,1.4231,200,50.8842,403.6441,549.7613,251.2860,375.0431,398.2567,0.0493,0.0237,Population structure converged. Difference: 0.0099
6,1,50.3693,38.9763,Warrior,75.1493,75.7640,20.0856,15.1371,13.8641,1.9311,200,50.8842,253.2406,314.9092,193.6105,165.2124,191.0585,0.0317,0.0237,Population structure converged. Difference: 0.0099
6,2,50.3693,43.0442,Warrior,75.1493,75.7640,20.0856,15.1371,13.8641,1.9311,200,50.8842,97.4685,148.4911,61.2150,68.1634,83.6845,0.0532,0.0237,Population structure converged. Difference: 0.0099
6,3,50.9968,46.8213,Warrior,75.8783,76.4989,20.2804,13.3438,13.9986,1.9311,200,50.8842,52.8626,53.5509,34.5198,4.3328,30.5024,0.0584,0.0237,Population structure converged. Difference: 0.0099
6,4,50.9547,48.8791,Warrior,75.8292,76.4495,20.2673,13.4645,13.9895,1.9311,200,50.8842,8.6324,7.6130,5.0987,0.4909,3.7925,0.0415,0.0237,Population structure converged. Difference: 0.0099
6,5,50.9547,50.0314,Warrior,75.8292,76.4495,20.2673,13.4645,13.9895,1.9311,200,50.8842,0.0248,0.6728,1.2078,0.0999,0.0170,0.0130,0.0237,Population structure converged. Difference: 0.0099
6,6,50.9547,50.3874,Warrior,75.8292,76.4495,20.2673,13.4645,13.9895,1.9311,200,50.8842,0.0386,0.0231,0.0154,0.0555,0.0011,0.0000,0.0237,Population structure converged. Difference: 0.0099
6,7,50.8842,50.3855,Warrior,75.6658,76.2848,20.4066,13.5570,14.0857,1.9311,200,50.8842,0.0545,0.0288,0.0144,0.0257,0.0017,0.0000,0.0237,Population structure converged. Difference: 0.0099
7,0,45.7981,35.0738,Warrior,58.2223,64.6308,48.8427,6.4936,21.8106,1.8505,200,54.3908,376.2317,621.8426,456.0731,556.3774,421.4177,0.0308,0.0866,Population structure converged. Difference: 0.0085
7,1,46.7440,41.1195,Warrior,69.8675,77.5578,18.6092,7.7924,26.1731,1.8505,200,54.3908,145.3141,290.9326,251.0641,272.8164,225.8157,0.0135,0.0866,Population structure converged. Difference: 0.0085
7,2,48.4360,44.7044,Warrior,61.2448,67.9859,51.3783,6.8307,12.5603,1.8505,200,54.3908,55.2680,63.6861,101.1998,30.1019,31.9831,0.0011,0.0866,Population structure converged. Difference: 0.0085
7,3,48.4649,45.6487,Warrior,65.4674,70.7630,44.7891,5.9547,13.0258,1.8223,200,54.3908,39.0284,80.4070,136.1813,7.1628,16.2314,0.0004,0.0866,Population structure converged. Difference: 0.0085
7,4,48.8024,46.3495,Warrior,62.3966,67.4438,50.9686,6.7762,12.4148,1.8505,200,54.3908,25.9434,51.3131,122.1552,1.7878,13.4432,0.0001,0.0866,Population structure converged. Difference: 0.0085
7,5,49.8661,46.7936,Warrior,70.3865,88.6949,18.7475,7.7886,14.3826,1.8505,200,54.3908,25.0433,64.3557,128.6482,1.0183,15.8759,0.0001,0.0866,Population structure converged. Difference: 0.0085
7,6,50.6751,47.7256,Warrior,74.7864,83.0180,19.9194,8.3410,13.9352,1.8505,200,54.3908,31.1078,74.3136,138.8419,0.5995,20.5767,0.0001,0.0866,Population structure converged. Difference: 0.0085
7,7,51.5321,48.6552,Warrior,75.1004,61.1641,46.2229,5.3824,12.1302,1.8505,200,54.3908,24.8364,88.9475,154.4025,0.6846,16.4956,0.0000,0.0866,Population structure converged. Difference: 0.0085
7,8,51.9775,49.6756,Warrior,76.3971,84.8061,20.3484,6.5140,11.9344,1.8505,200,54.3908,27.4313,117.8445,178.2660,1.0077,8.7621,0.0001,0.0866,Population structure converged. Difference: 0.0085
